STN,YYYY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
260,1901,-3.0,-9.0,35.0,90.0,120.0,144.0,181.0,162.0,143.0,101.0,52.0,30.0,87.0
260,1902,47.0,-3.0,53.0,85.0,92.0,153.0,152.0,146.0,129.0,85.0,37.0,8.0,82.0
260,1903,30.0,57.0,72.0,56.0,126.0,140.0,153.0,150.0,140.0,109.0,56.0,9.0,92.0
260,1904,8.0,30.0,38.0,96.0,118.0,141.0,175.0,156.0,122.0,91.0,55.0,40.0,89.0
260,1905,13.0,36.0,60.0,66.0,117.0,164.0,174.0,157.0,127.0,65.0,38.0,24.0,87.0
260,1906,36.0,24.0,40.0,76.0,123.0,140.0,165.0,164.0,131.0,114.0,77.0,2.0,91.0
260,1907,17.0,8.0,48.0,75.0,123.0,135.0,138.0,150.0,135.0,110.0,58.0,31.0,86.0
260,1908,-11.0,37.0,36.0,61.0,129.0,159.0,163.0,150.0,134.0,97.0,45.0,11.0,84.0
260,1909,9.0,7.0,29.0,85.0,112.0,130.0,146.0,158.0,130.0,108.0,46.0,32.0,83.0
260,1910,36.0,41.0,52.0,78.0,124.0,159.0,150.0,158.0,132.0,102.0,35.0,56.0,94.0
260,1911,12.0,36.0,52.0,71.0,137.0,144.0,180.0,187.0,141.0,95.0,58.0,51.0,97.0
260,1912,20.0,41.0,75.0,87.0,116.0,148.0,178.0,140.0,107.0,79.0,55.0,54.0,92.0
260,1913,24.0,35.0,71.0,86.0,125.0,140.0,146.0,150.0,136.0,107.0,81.0,42.0,95.0
260,1914,1.0,57.0,60.0,100.0,114.0,140.0,173.0,169.0,134.0,99.0,51.0,49.0,96.0
260,1915,32.0,32.0,41.0,75.0,122.0,153.0,153.0,153.0,128.0,76.0,29.0,52.0,87.0
260,1916,60.0,28.0,44.0,87.0,128.0,121.0,151.0,160.0,131.0,100.0,57.0,26.0,91.0
260,1917,-6.0,-15.0,19.0,46.0,143.0,177.0,163.0,159.0,143.0,81.0,71.0,1.0,82.0
260,1918,29.0,42.0,46.0,82.0,136.0,133.0,158.0,156.0,129.0,93.0,43.0,57.0,92.0
260,1919,20.0,3.0,42.0,63.0,135.0,141.0,138.0,156.0,140.0,70.0,19.0,37.0,80.0
260,1920,42.0,54.0,74.0,92.0,126.0,153.0,158.0,140.0,130.0,79.0,33.0,21.0,92.0
260,1921,63.0,31.0,67.0,87.0,131.0,144.0,175.0,164.0,137.0,123.0,13.0,32.0,97.0
260,1922,4.0,17.0,42.0,60.0,131.0,148.0,149.0,146.0,124.0,64.0,49.0,46.0,82.0
260,1923,40.0,31.0,66.0,78.0,102.0,116.0,183.0,155.0,128.0,105.0,30.0,5.0,87.0
260,1924,1.0,4.0,34.0,66.0,130.0,146.0,160.0,142.0,137.0,104.0,49.0,38.0,84.0
260,1925,39.0,48.0,36.0,81.0,135.0,148.0,178.0,159.0,117.0,97.0,28.0,14.0,90.0
260,1926,23.0,64.0,59.0,99.0,105.0,136.0,172.0,161.0,149.0,78.0,66.0,29.0,95.0
260,1927,39.0,29.0,66.0,78.0,112.0,130.0,166.0,164.0,137.0,103.0,41.0,-12.0,88.0
260,1928,36.0,49.0,45.0,83.0,107.0,137.0,167.0,157.0,125.0,97.0,75.0,24.0,92.0
260,1929,-12.0,-55.0,36.0,54.0,124.0,136.0,167.0,158.0,155.0,101.0,60.0,50.0,81.0
260,1930,48.0,16.0,49.0,88.0,116.0,172.0,158.0,162.0,138.0,101.0,71.0,23.0,95.0
260,1931,26.0,13.0,24.0,72.0,133.0,149.0,162.0,154.0,114.0,87.0,66.0,33.0,86.0
260,1932,41.0,16.0,32.0,73.0,120.0,146.0,170.0,183.0,144.0,92.0,54.0,35.0,92.0
260,1933,1.0,29.0,68.0,84.0,119.0,151.0,175.0,169.0,145.0,97.0,41.0,-20.0,88.0
260,1934,23.0,34.0,48.0,102.0,119.0,155.0,172.0,158.0,155.0,110.0,54.0,70.0,100.0
260,1935,30.0,44.0,50.0,78.0,108.0,160.0,171.0,166.0,139.0,95.0,70.0,27.0,95.0
260,1936,48.0,22.0,66.0,62.0,127.0,160.0,160.0,164.0,138.0,87.0,51.0,33.0,93.0
260,1937,27.0,48.0,34.0,87.0,139.0,153.0,162.0,169.0,132.0,107.0,46.0,17.0,93.0
260,1938,41.0,34.0,78.0,69.0,109.0,150.0,158.0,173.0,145.0,93.0,84.0,3.0,95.0
260,1939,43.0,35.0,45.0,91.0,118.0,158.0,165.0,170.0,146.0,76.0,71.0,10.0,94.0
260,1940,-55.0,-13.0,52.0,89.0,130.0,161.0,155.0,149.0,127.0,87.0,66.0,8.0,80.0
260,1941,-25.0,16.0,48.0,67.0,96.0,163.0,186.0,148.0,141.0,95.0,42.0,46.0,85.0
260,1942,-51.0,-43.0,27.0,92.0,120.0,141.0,157.0,173.0,144.0,115.0,56.0,42.0,81.0
260,1943,27.0,45.0,64.0,104.0,132.0,141.0,167.0,164.0,131.0,103.0,47.0,14.0,95.0
260,1944,52.0,19.0,36.0,94.0,113.0,138.0,164.0,185.0,130.0,95.0,62.0,25.0,93.0
260,1945,-15.0,61.0,74.0,101.0,133.0,155.0,173.0,160.0,142.0,113.0,49.0,32.0,98.0
260,1946,3.0,47.0,42.0,102.0,126.0,137.0,169.0,154.0,142.0,91.0,64.0,-3.0,90.0
260,1947,-14.0,-56.0,32.0,89.0,147.0,170.0,182.0,189.0,162.0,92.0,69.0,41.0,92.0
260,1948,51.0,31.0,67.0,99.0,125.0,149.0,162.0,160.0,141.0,96.0,48.0,34.0,97.0
260,1949,37.0,38.0,41.0,103.0,112.0,141.0,169.0,166.0,165.0,111.0,52.0,44.0,98.0
260,1950,11.0,56.0,65.0,76.0,126.0,167.0,168.0,166.0,132.0,91.0,59.0,-12.0,92.0
260,1951,40.0,39.0,40.0,71.0,119.0,150.0,165.0,160.0,152.0,87.0,84.0,43.0,96.0
260,1952,25.0,24.0,49.0,103.0,132.0,148.0,171.0,167.0,115.0,82.0,30.0,15.0,88.0
260,1953,13.0,24.0,48.0,85.0,129.0,155.0,168.0,163.0,137.0,113.0,72.0,54.0,97.0
260,1954,2.0,-3.0,59.0,67.0,129.0,150.0,143.0,157.0,134.0,119.0,67.0,55.0,90.0
260,1955,1.0,1.0,19.0,84.0,100.0,143.0,176.0,179.0,143.0,93.0,66.0,46.0,88.0
260,1956,22.0,-67.0,54.0,57.0,122.0,128.0,164.0,140.0,147.0,98.0,51.0,54.0,81.0
260,1957,37.0,51.0,84.0,85.0,103.0,163.0,176.0,156.0,129.0,108.0,64.0,30.0,99.0
260,1958,21.0,38.0,23.0,64.0,123.0,147.0,166.0,172.0,158.0,111.0,51.0,47.0,93.0
260,1959,17.0,7.0,70.0,99.0,134.0,160.0,185.0,178.0,155.0,113.0,51.0,44.0,101.0
260,1960,28.0,31.0,56.0,91.0,130.0,162.0,154.0,158.0,136.0,108.0,76.0,31.0,97.0
260,1961,20.0,63.0,71.0,105.0,111.0,154.0,156.0,160.0,166.0,114.0,47.0,16.0,99.0
260,1962,35.0,28.0,20.0,80.0,100.0,137.0,147.0,153.0,130.0,108.0,42.0,-7.0,81.0
260,1963,-52.0,-32.0,46.0,90.0,110.0,156.0,163.0,152.0,138.0,97.0,83.0,-11.0,78.0
260,1964,6.0,35.0,27.0,87.0,143.0,153.0,168.0,160.0,141.0,79.0,64.0,24.0,91.0
260,1965,28.0,21.0,43.0,77.0,119.0,147.0,149.0,153.0,128.0,99.0,27.0,45.0,86.0
260,1966,4.0,43.0,52.0,84.0,129.0,167.0,154.0,157.0,138.0,110.0,43.0,44.0,94.0
260,1967,31.0,52.0,68.0,74.0,126.0,144.0,182.0,165.0,142.0,118.0,51.0,34.0,99.0
260,1968,21.0,15.0,62.0,93.0,110.0,154.0,163.0,171.0,144.0,117.0,49.0,-2.0,91.0
260,1969,44.0,-1.0,22.0,79.0,129.0,152.0,181.0,177.0,148.0,127.0,64.0,-17.0,92.0
260,1970,6.0,11.0,30.0,61.0,131.0,176.0,157.0,170.0,144.0,107.0,75.0,25.0,91.0
260,1971,23.0,38.0,27.0,81.0,137.0,139.0,172.0,171.0,133.0,105.0,57.0,54.0,95.0
260,1972,5.0,36.0,62.0,77.0,118.0,134.0,172.0,155.0,119.0,90.0,60.0,33.0,88.0
260,1973,29.0,29.0,53.0,61.0,120.0,160.0,170.0,177.0,149.0,87.0,51.0,27.0,93.0
260,1974,52.0,46.0,56.0,91.0,116.0,148.0,154.0,164.0,127.0,70.0,65.0,73.0,97.0
260,1975,62.0,31.0,47.0,75.0,111.0,151.0,178.0,199.0,152.0,85.0,52.0,35.0,98.0
260,1976,42.0,29.0,30.0,75.0,133.0,180.0,193.0,180.0,138.0,112.0,69.0,17.0,100.0
260,1977,30.0,49.0,71.0,67.0,119.0,146.0,170.0,161.0,134.0,115.0,68.0,50.0,98.0
260,1978,30.0,11.0,66.0,69.0,121.0,150.0,154.0,153.0,137.0,109.0,63.0,18.0,90.0
260,1979,-32.0,-9.0,47.0,78.0,115.0,149.0,159.0,156.0,139.0,109.0,56.0,54.0,85.0
260,1980,2.0,48.0,47.0,80.0,123.0,150.0,158.0,170.0,153.0,94.0,49.0,36.0,93.0
260,1981,27.0,15.0,81.0,83.0,133.0,144.0,163.0,167.0,147.0,85.0,67.0,-7.0,92.0
260,1982,11.0,28.0,52.0,76.0,129.0,166.0,189.0,172.0,156.0,111.0,82.0,34.0,101.0
260,1983,62.0,9.0,57.0,85.0,106.0,164.0,201.0,181.0,142.0,104.0,61.0,38.0,101.0
260,1984,34.0,20.0,40.0,79.0,106.0,138.0,159.0,181.0,135.0,117.0,82.0,43.0,95.0
260,1985,-30.0,-6.0,41.0,85.0,132.0,137.0,174.0,159.0,144.0,103.0,26.0,57.0,85.0
260,1986,24.0,-36.0,42.0,62.0,133.0,164.0,172.0,156.0,116.0,114.0,79.0,51.0,90.0
260,1987,-27.0,21.0,23.0,107.0,102.0,138.0,168.0,162.0,148.0,108.0,68.0,44.0,89.0
260,1988,59.0,46.0,51.0,87.0,144.0,148.0,160.0,166.0,140.0,109.0,61.0,70.0,103.0
260,1989,45.0,53.0,82.0,69.0,146.0,157.0,181.0,172.0,156.0,124.0,56.0,48.0,107.0
260,1990,57.0,76.0,85.0,89.0,139.0,150.0,169.0,185.0,131.0,120.0,62.0,42.0,109.0
